Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–Rate,22.0,,,ED
2022–2023,   Eating and feeding disorders,Female,Agegroup:5–9years–Rate,4.0,,,ED
2022–2023,   Eating and feeding disorders,Male,Agegroup:5–9years–Rate,3.0,,,ED
2022–2023,   Eating and feeding disorders,Total,Agegroup:5–9years–Rate,3.0,,,ED
2022–2023,   Tic disorders,Female,Agegroup:5–9years–Rate,8.0,,,ED
2022–2023,   Tic disorders,Male,Agegroup:5–9years–Rate,22.0,,,ED
2022–2023,   Tic disorders,Total,Agegroup:5–9years–Rate,15.0,,,ED
2022–2023,   ADHD,Female,Agegroup:5–9years–Rate,7.0,,,ED
2022–2023,   ADHD,Male,Agegroup:5–9years–Rate,25.0,,,ED
2022–2023,   ADHD,Total,Agegroup:5–9years–Rate,16.0,,,ED
2023–2024,Neurocognitive disorders,Female,Agegroup:5–9years–Rate,4.0,,,ED
2023–2024,Neurocognitive disorders,Male,Agegroup:5–9years–Rate,4.0,,,ED
2023–2024,Neurocognitive disorders,Total,Agegroup:5–9years–Rate,4.0,,,ED
2023–2024,Substance-related disorders,Female,Agegroup:5–9years–Rate,3.0,,,ED
2023–2024,Substance-related disorders,Male,Agegroup:5–9years–Rate,3.0,,,ED
2023–2024,Substance-related disorders,Total,Agegroup:5–9years–Rate,3.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–Rate,1.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–Rate,1.0,,,ED
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–Rate,1.0,,,ED
2023–2024,Mood disorders,Female,Agegroup:5–9years–Rate,7.0,,,ED
2023–2024,Mood disorders,Male,Agegroup:5–9years–Rate,7.0,,,ED
2023–2024,Mood disorders,Total,Agegroup:5–9years–Rate,7.0,,,ED
2023–2024,Anxiety disorders,Female,Agegroup:5–9years–Rate,36.0,,,ED
2023–2024,Anxiety disorders,Male,Agegroup:5–9years–Rate,26.0,,,ED
2023–2024,Anxiety disorders,Total,Agegroup:5–9years–Rate,31.0,,,ED
2023–2024,Personality disorders,Female,Agegroup:5–9years–Rate,1.0,,,ED
2023–2024,Personality disorders,Male,Agegroup:5–9years–Rate,2.0,,,ED
2023–2024,Personality disorders,Total,Agegroup:5–9years–Rate,2.0,,,ED
2023–2024,Other disorders,Female,Agegroup:5–9years–Rate,68.0,,,ED
2023–2024,Other disorders,Male,Agegroup:5–9years–Rate,131.0,,,ED
2023–2024,Other disorders,Total,Agegroup:5–9years–Rate,100.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–Rate,23.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–Rate,33.0,,,ED
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–Rate,28.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–Rate,14.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–Rate,25.0,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–Rate,20.0,,,ED
2023–2024,   Eating and feeding disorders,Female,Agegroup:5–9years–Rate,4.0,,,ED
2023–2024,   Eating and feeding disorders,Male,Agegroup:5–9years–Rate,2.0,,,ED
2023–2024,   Eating and feeding disorders,Total,Agegroup:5–9years–Rate,3.0,,,ED
2023–2024,   Tic disorders,Female,Agegroup:5–9years–Rate,9.0,,,ED
2023–2024,   Tic disorders,Male,Agegroup:5–9years–Rate,21.0,,,ED
2023–2024,   Tic disorders,Total,Agegroup:5–9years–Rate,15.0,,,ED
2023–2024,   ADHD,Female,Agegroup:5–9years–Rate,6.0,,,ED
2023–2024,   ADHD,Male,Agegroup:5–9years–Rate,22.0,,,ED
2023–2024,   ADHD,Total,Agegroup:5–9years–Rate,14.0,,,ED
2018–2019,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Other disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Other disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Other disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   ADHD,Female,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   ADHD,Male,Agegroup:5–9years–95%CI,,,,ED
2018–2019,   ADHD,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Other disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Other disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,Other disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   ADHD,Female,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   ADHD,Male,Agegroup:5–9years–95%CI,,,,ED
2019–2020,   ADHD,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Other disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Other disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,Other disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   ADHD,Female,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   ADHD,Male,Agegroup:5–9years–95%CI,,,,ED
2020–2021,   ADHD,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Other disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Other disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,Other disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   ADHD,Female,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   ADHD,Male,Agegroup:5–9years–95%CI,,,,ED
2021–2022,   ADHD,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Other disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Other disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,Other disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   ADHD,Female,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   ADHD,Male,Agegroup:5–9years–95%CI,,,,ED
2022–2023,   ADHD,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Neurocognitive disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Neurocognitive disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Neurocognitive disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Substance-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Substance-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Substance-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Schizophrenic and psychotic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Schizophrenic and psychotic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Schizophrenic and psychotic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Mood disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Mood disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Mood disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Anxiety disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Anxiety disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Anxiety disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Personality disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Personality disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Personality disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Other disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Other disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,Other disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Trauma- and stressor-related disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Trauma- and stressor-related disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Trauma- and stressor-related disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Eating and feeding disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Eating and feeding disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Eating and feeding disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Tic disorders,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Tic disorders,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   Tic disorders,Total,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   ADHD,Female,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   ADHD,Male,Agegroup:5–9years–95%CI,,,,ED
2023–2024,   ADHD,Total,Agegroup:5–9years–95%CI,,,,ED
2018–2019,Neurocognitive disorders,Female,Agegroup:10–14years–Rate,21.0,,,ED
2018–2019,Neurocognitive disorders,Male,Agegroup:10–14years–Rate,17.0,,,ED
2018–2019,Neurocognitive disorders,Total,Agegroup:10–14years–Rate,19.0,,,ED
2018–2019,Substance-related disorders,Female,Agegroup:10–14years–Rate,74.0,,,ED
2018–2019,Substance-related disorders,Male,Agegroup:10–14years–Rate,64.0,,,ED
2018–2019,Substance-related disorders,Total,Agegroup:10–14years–Rate,69.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Female,Agegroup:10–14years–Rate,14.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Male,Agegroup:10–14years–Rate,12.0,,,ED
2018–2019,Schizophrenic and psychotic disorders,Total,Agegroup:10–14years–Rate,13.0,,,ED
2018–2019,Mood disorders,Female,Agegroup:10–14years–Rate,369.0,,,ED
2018–2019,Mood disorders,Male,Agegroup:10–14years–Rate,134.0,,,ED
2018–2019,Mood disorders,Total,Agegroup:10–14years–Rate,249.0,,,ED
2018–2019,Anxiety disorders,Female,Agegroup:10–14years–Rate,302.0,,,ED
2018–2019,Anxiety disorders,Male,Agegroup:10–14years–Rate,135.0,,,ED
2018–2019,Anxiety disorders,Total,Agegroup:10–14years–Rate,216.0,,,ED
2018–2019,Personality disorders,Female,Agegroup:10–14years–Rate,15.0,,,ED
2018–2019,Personality disorders,Male,Agegroup:10–14years–Rate,6.0,,,ED
2018–2019,Personality disorders,Total,Agegroup:10–14years–Rate,10.0,,,ED
2018–2019,Other disorders,Female,Agegroup:10–14years–Rate,529.0,,,ED
2018–2019,Other disorders,Male,Agegroup:10–14years–Rate,384.0,,,ED
2018–2019,Other disorders,Total,Agegroup:10–14years–Rate,455.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Female,Agegroup:10–14years–Rate,405.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Male,Agegroup:10–14years–Rate,224.0,,,ED
2018–2019,   Trauma- and stressor-related disorders,Total,Agegroup:10–14years–Rate,312.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:10–14years–Rate,52.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:10–14years–Rate,71.0,,,ED
2018–2019,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:10–14years–Rate,62.0,,,ED
2018–2019,   Eating and feeding disorders,Female,Agegroup:10–14years–Rate,25.0,,,ED
2018–2019,   Eating and feeding disorders,Male,Agegroup:10–14years–Rate,4.0,,,ED
2018–2019,   Eating and feeding disorders,Total,Agegroup:10–14years–Rate,14.0,,,ED
2018–2019,   Tic disorders,Female,Agegroup:10–14years–Rate,6.0,,,ED
2018–2019,   Tic disorders,Male,Agegroup:10–14years–Rate,9.0,,,ED
2018–2019,   Tic disorders,Total,Agegroup:10–14years–Rate,8.0,,,ED
2018–2019,   ADHD,Female,Agegroup:10–14years–Rate,18.0,,,ED
2018–2019,   ADHD,Male,Agegroup:10–14years–Rate,44.0,,,ED
2018–2019,   ADHD,Total,Agegroup:10–14years–Rate,31.0,,,ED
2019–2020,Neurocognitive disorders,Female,Agegroup:10–14years–Rate,19.0,,,ED
2019–2020,Neurocognitive disorders,Male,Agegroup:10–14years–Rate,15.0,,,ED
2019–2020,Neurocognitive disorders,Total,Agegroup:10–14years–Rate,17.0,,,ED
2019–2020,Substance-related disorders,Female,Agegroup:10–14years–Rate,80.0,,,ED
2019–2020,Substance-related disorders,Male,Agegroup:10–14years–Rate,65.0,,,ED
2019–2020,Substance-related disorders,Total,Agegroup:10–14years–Rate,72.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Female,Agegroup:10–14years–Rate,13.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Male,Agegroup:10–14years–Rate,9.0,,,ED
2019–2020,Schizophrenic and psychotic disorders,Total,Agegroup:10–14years–Rate,11.0,,,ED
2019–2020,Mood disorders,Female,Agegroup:10–14years–Rate,356.0,,,ED
2019–2020,Mood disorders,Male,Agegroup:10–14years–Rate,126.0,,,ED
2019–2020,Mood disorders,Total,Agegroup:10–14years–Rate,238.0,,,ED
2019–2020,Anxiety disorders,Female,Agegroup:10–14years–Rate,303.0,,,ED
2019–2020,Anxiety disorders,Male,Agegroup:10–14years–Rate,139.0,,,ED
2019–2020,Anxiety disorders,Total,Agegroup:10–14years–Rate,219.0,,,ED
2019–2020,Personality disorders,Female,Agegroup:10–14years–Rate,16.0,,,ED
2019–2020,Personality disorders,Male,Agegroup:10–14years–Rate,5.0,,,ED
2019–2020,Personality disorders,Total,Agegroup:10–14years–Rate,10.0,,,ED
2019–2020,Other disorders,Female,Agegroup:10–14years–Rate,525.0,,,ED
2019–2020,Other disorders,Male,Agegroup:10–14years–Rate,372.0,,,ED
2019–2020,Other disorders,Total,Agegroup:10–14years–Rate,447.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Female,Agegroup:10–14years–Rate,397.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Male,Agegroup:10–14years–Rate,222.0,,,ED
2019–2020,   Trauma- and stressor-related disorders,Total,Agegroup:10–14years–Rate,307.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:10–14years–Rate,53.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:10–14years–Rate,76.0,,,ED
2019–2020,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:10–14years–Rate,65.0,,,ED
2019–2020,   Eating and feeding disorders,Female,Agegroup:10–14years–Rate,25.0,,,ED
2019–2020,   Eating and feeding disorders,Male,Agegroup:10–14years–Rate,4.0,,,ED
2019–2020,   Eating and feeding disorders,Total,Agegroup:10–14years–Rate,14.0,,,ED
2019–2020,   Tic disorders,Female,Agegroup:10–14years–Rate,7.0,,,ED
